label,centroid-0,centroid-1,centroid-2,co_dots,r_dots,fr_dots,sum
1,9,324,415,0,1,0,1
2,6,444,741,1,3,0,4
3,6,525,380,0,0,1,1
4,8,549,696,3,4,1,8
5,5,583,305,1,0,1,2
6,8,650,661,1,4,0,5
7,5,143,317,0,1,0,1
9,6,366,733,0,1,0,1
10,7,436,269,0,1,0,1
12,10,496,393,0,0,2,2
13,6,516,664,0,0,1,1
14,8,689,412,0,0,2,2
15,10,706,350,0,0,2,2
16,6,732,421,0,1,0,1
18,9,822,498,0,1,1,2
19,13,988,313,2,1,0,3
20,8,147,879,0,2,4,6
21,15,221,602,0,0,2,2
22,8,241,570,0,2,0,2
25,21,410,491,0,0,1,1
26,8,396,546,0,2,1,3
28,19,429,527,0,2,1,3
29,8,503,710,1,0,4,5
31,19,667,406,0,1,0,1
33,5,715,628,1,1,2,4
35,6,742,181,0,0,1,1
36,14,849,384,2,0,1,3
40,17,363,761,1,0,1,2
41,6,378,536,0,1,0,1
42,4,551,274,0,1,0,1
48,8,801,172,1,0,0,1
50,9,463,337,3,0,1,4
51,19,664,155,0,0,1,1
53,15,951,303,1,0,0,1
55,10,464,316,1,3,0,4
57,14,577,332,1,0,0,1
60,10,969,61,2,0,0,2
61,19,623,639,0,0,1,1
63,15,187,553,1,1,1,3
64,26,306,744,1,0,0,1
65,15,720,183,1,0,2,3
